SKU,Name, MSRP ,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGT260073,WatchGuard Basic Security Suite for Firebox T25-W - 3-Year, $940.00 ,Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?x2e8WXjnRjM=shf18o1ooq5X/pRgq8sNJw==nmA6ypKrUP4HtYNpjtpvzn1UD69i
NWG-WGT260075,WatchGuard Basic Security Suite for Firebox T25-W - 5-Year," $1,655.00 ",Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?afX0Gg6gVoU=DYiiXAPsPhsCahiaJqqAGg==5RERztuGYzbYxe83vCVs5hSXobII
NWG-WGT260081,WatchGuard Total Security Suite for Firebox T25-W - 1-Year, $825.00 ,Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?vrdUxe+IJ5s=Cp8NpR6WqFdFamodhsFQeg==iQOI0SN2JVG2Hi+qVAdZpIQUtWGU
NWG-WGT260083,WatchGuard Total Security Suite for Firebox T25-W - 3-Year," $1,850.00 ",Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?OoPcs8hjbyk=9pMSm+B6no8TBrP4o/8LSw==xK5DhzDcGB9HymGT6f2q0nUIHlDa
NWG-WGT260085,WatchGuard Total Security Suite for Firebox T25-W - 5-Year," $3,305.00 ",Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?2oinkr9wrIs=laf+m9e6XSPoy0M5JbnVhg==cSSHJQu5osu/g1/tFXjOMiA1zoR9
NWG-WGT260203,Trade Up to WatchGuard Basic Security Suite for Firebox T25-W - 3-Year, $765.00 ,Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?z+Bs7+tQOKY=cSBBUEHI0hGg7Mvim/OGzw==gDBWrSVloORF0ZtR1A/eHwuJAg21
NWG-WGT260205,Trade Up to WatchGuard Basic Security Suite for Firebox T25-W - 5-Year," $1,475.00 ",Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?AyIEkiXpcc8=V9bIoobUiX/Wgc78MVPRSA==MVrY7aaxYVRjDWdOA54FFBWoL06h
NWG-WGT260211,Trade Up to WatchGuard Total Security Suite for Firebox T25-W - 1-Year, $645.00 ,Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?lhjlx96jiGE=rfCL/T4ZeR5QBrZx/HkaUQ==oshL5zOFDxIwdSL188V2HCv9/IfI
NWG-WGT260213,Trade Up to WatchGuard Total Security Suite for Firebox T25-W - 3-Year," $1,665.00 ",Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?P73Sjnvhrms=byv1q1baZll2BaRwnPdggw==/5wHgjRTGkH1ZQK3KKUB4Bb+BhcO
NWG-WGT260215,Trade Up to WatchGuard Total Security Suite for Firebox T25-W - 5-Year," $3,125.00 ",Electronic,T-Series,T25-W,https://partner.leadersystems.com.au/products.html?rwp6rOy58Rw=s8Wvtu01F1FmnK2asu6Csw==nFv0aIuJOXBKKuU1c8iZrXFl9Jf4
NWG-WGT49000-AU,WatchGuard Firebox T45-CW  Appliance Only (AU), $889.00 ,Physical,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?o0Bh/WpKcog=habsB3qdV54BegP1Hg7y1A==kSbd5xz14Xbl9ZoMlRkh4IN6Qx5MR90=
NWG-WGT490061,WatchGuard Standard Support for Firebox T45-CW - 1-Year, $496.00 ,Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?t29sfaSdl3U=bqblmhTVJ6G34axW0bHDlg==lkVoadj+ssehhVfFUnRtdqyz9exA
NWG-WGT490063,WatchGuard Standard Support for Firebox T45-CW - 3-Year, $871.00 ,Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?oeD4SIaZGGM=t6I4043+mW851KUK4b5LtA==yuRqn5Dyx/mBYl1oWc+cYWbTf1u2
NWG-WGT490065,WatchGuard Standard Support for Firebox T45-CW - 5-Year," $1,396.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?3TZmVP3YQXA=Folu6+BrJPVHI7g+XjHqSg==IZCBrJPc3xF6X9iaMGicNzilom6i
NWG-WGT490071,WatchGuard Basic Security Suite for Firebox T45-CW - 1-Year, $796.00 ,Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?IR5jLZl9P08=9A0vL9MkzK05pA1uQkhrRA==Z88QlBlsXHRooXmohaWuG3GQ7VAS
NWG-WGT490073,WatchGuard Basic Security Suite for Firebox T45-CW - 3-Year," $1,811.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?xlqJKZQ/IQc=dPzQlz+I6qMvY2xKfBfi9w==i1X+tLsbjJBIfn7lDyXlLkWDHDgw
NWG-WGT490075,WatchGuard Basic Security Suite for Firebox T45-CW - 5-Year," $3,266.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?KdL8YkGyRV8=GCeudRo6qvjL8HMDCdHj/g==TFQ3YMZQr6epgJgTqVI34Gh0cF5c
NWG-WGT490081,WatchGuard Total Security Suite for Firebox T45-CW - 1-Year," $1,581.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?TAqT27ZHlQE=gPtQb7LIZbSsIiIyw3vTbA==dpUB4ufOPmEamqwBrRM+EA6FzflT
NWG-WGT490083,WatchGuard Total Security Suite for Firebox T45-CW - 3-Year," $3,631.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?z1rjXKmyUe0=6XjOCWUBsV1N/qlMnk59cg==TVH9mJ3nvtGLzjFKqbsYC2Gz0TMN
NWG-WGT490085,WatchGuard Total Security Suite for Firebox T45-CW - 5-Year," $6,511.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?kyf44QrghOs=QcgGX2aOUipPNRkUdDwe4w==ahEWE8vupp5UuiJUtUoe34LJGeKG
NWG-WGT490201,Trade Up to WatchGuard Basic Security Suite for Firebox T45-CW - 1-Year, $446.00 ,Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?+3hhv3Kmtn4=+9ypO58h1tjQyyYOoyCB+w==ggCj8WH8Ku8UX0+X1jb3iWIl1FSy
NWG-WGT490203,Trade Up to WatchGuard Basic Security Suite for Firebox T45-CW - 3-Year, $961.00 ,Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?gXgvkCh5XrM=CjRomCqmBKtqe2eTHXWfSg==oN6x3Utkzt3xu0pm46iVGivVxSKW
NWG-WGT490205,Trade Up to WatchGuard Basic Security Suite for Firebox T45-CW - 5-Year," $2,421.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?eo+F33ddf5Q=an9txoJcmvVOrD4fNPSrgw==MiZ8ulC+lCsS4JTzRpwI+qUXE2J8
NWG-WGT490211,Trade Up to WatchGuard Total Security Suite for Firebox T45-CW - 1-Year," $1,221.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?WTJCVr/BLpI=xdmOFBRgg55h3ffrgxt6xw==wkIU0VU+wBXv207FxKJEJY1hjFKY
NWG-WGT490213,Trade Up to WatchGuard Total Security Suite for Firebox T45-CW - 3-Year," $3,261.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?HtZ8i5VULjQ=YeVRziUaacWpGHZPpoHNhA==iZX4566FeXoXgbl0NRWqsCvw+VgX
NWG-WGT490215,Trade Up to WatchGuard Total Security Suite for Firebox T45-CW - 5-Year," $6,161.00 ",Electronic,T-Series,T45-CW,https://partner.leadersystems.com.au/products.html?AIn958EBk1Y=TCqzXJuw6L/pmb457Hb56w==fegrZ721lMDZ5n8dupgoPMwhENg7
NWG-WGT47000-AU,WatchGuard Firebox T45-PoE  Appliance Only (AU), $597.00 ,Physical,T-Series,T45-PoE,https://partner.leadersystems.com.au/products.html?YCGmGhMvRdg=rkSt+tNGql+FNVRs3jCrqw==mfop2de0pflG/4no8Hbks+BCf2Bt6gk=
NWG-WGT470061,WatchGuard Standard Support for Firebox T45-PoE - 1-Year, $418.00 ,Electronic,T-Series,T45-PoE,https://partner.leadersystems.com.au/products.html?QWpILFlbwfU=SCRcWtZaKbtWjRuMm/3ppA==CMOwqSlHS3m5ogZb446QFZ2ZiW0G
