STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGCXL351,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox Cloud XLarge,https://www.leadersystems.com.au/Images/NWG-WGCXL351.jpg,Watchguard,WGCXL351,19682.0000,24970.0000
NWG-WGVSM351,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM351.jpg,Watchguard,WGVSM351,1982.0000,2515.0000
NWG-WGVME261,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for FireboxV Medium,https://www.leadersystems.com.au/Images/NWG-WGVME261.jpg,Watchguard,WGVME261,1050.0000,1333.0000
NWG-WGM37351,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox M370,https://www.leadersystems.com.au/Images/NWG-WGM37351.jpg,Watchguard,WGM37351,4156.0000,5273.0000
NWG-WGEPDR30401,Endpoint & Mobile Protection,WatchGuard EPDR - 1 Year - 251 to 500 licenses - License Per User,https://www.leadersystems.com.au/Images/NWG-WGEPDR30401.jpg,Watchguard,WGEPDR30401,60.0000,76.0000
NWG-WGPSP30703,Subscriptions & Licensing,WatchGuard Passport (EPDR + AuthPoint + DNSWatchGO) - 3 Year - 5001+ Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGPSP30703.jpg,Watchguard,WGPSP30703,135.0000,172.0000
NWG-WGM47261,Subscriptions & Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for Firebox M470,https://www.leadersystems.com.au/Images/NWG-WGM47261.jpg,Watchguard,WGM47261,1313.0000,1666.0000
NWG-WGM57111,Email Security,WatchGuard spamBlocker 1-yr for Firebox M570,https://www.leadersystems.com.au/Images/NWG-WGM57111.jpg,Watchguard,WGM57111,2062.0000,2617.0000
NWG-WGT25353,Subscriptions & Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for Firebox T25,https://www.leadersystems.com.au/Images/NWG-WGT25353.jpg,Watchguard,WGT25353,1914.0000,2428.0000
NWG-WGM67331,Subscriptions & Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox M670,https://www.leadersystems.com.au/Images/NWG-WGM67331.jpg,Watchguard,WGM67331,7190.0000,9123.0000
NWG-WGM67121,Subscriptions & Licensing,WatchGuard Gateway AntiVirus 1-yr for Firebox M670,https://www.leadersystems.com.au/Images/NWG-WGM67121.jpg,Watchguard,WGM67121,2861.0000,3630.0000
NWG-WGT16171,Cloud & Server Security,WatchGuard APT Blocker 1-yr for Firebox T15-W,https://www.leadersystems.com.au/Images/NWG-WGT16171.jpg,Watchguard,WGT16171,173.0000,220.0000
NWG-WGM27181,Subscriptions & Licensing,WatchGuard Network Discovery 1-yr for Firebox M270,https://www.leadersystems.com.au/Images/NWG-WGM27181.jpg,Watchguard,WGM27181,626.0000,794.0000
